x,y,z
0,0,150
-0.266492795853276,1.33246397926623,149.991793113836
-0.266465878492808,2.93112466342051,149.961493098734
-0.79924960694293,4.52908110600984,149.905952609497
-1.86436635512115,6.12577516682663,149.817618176146
-2.3961748655578,7.72100790013069,149.709135767783
-3.45991777963522,8.78286820984334,149.603221698904
-4.52260343948861,9.84331336829866,149.47719212078
-6.11629221482323,10.3711041903524,149.353744909845
-7.17600551185013,11.4284532225761,149.187565692089
-8.76572544112283,11.9532619651674,149.01898199087
-10.352776595732,12.4764230769078,148.82537755552
-11.9391731217374,12.4698030382591,148.667086039623
-13.52285695191,12.4622407203875,148.486304940127
-15.1063965257281,11.9261025203117,148.340771470357
-16.6869782110545,11.3895248107198,148.170254774866
-17.7398890793474,10.8557530187051,148.059982966963
-19.3146925841691,10.3188083668849,147.847096937028
-20.3665067399357,9.25750306360717,147.751983608808
-21.4162002283807,8.19632354419509,147.636895384001
-22.4660230728437,6.60765384495403,147.534361933845
-22.9907581047061,5.54949333561873,147.484361067073
-24.0352357515591,3.96185204696026,147.329422746014
-24.038884188475,2.37747206259642,147.374394813661
-24.5595474140976,0.792243464970916,147.281961127381
-24.5595474140976,-0.792243464970916,147.281961127381
-24.038884188475,-2.37747206259642,147.374394813661
-24.0352357515591,-3.96185204696026,147.329422746014
-22.9907581047061,-5.54949333561873,147.484361067073
-22.4660230728437,-6.60765384495403,147.534361933845
-21.4162002283807,-8.19632354419509,147.636895384001
-20.3665067399357,-9.25750306360717,147.751983608808
-19.3146925841691,-10.3188083668849,147.847096937028
-17.7398890793474,-10.8557530187051,148.059982966963
-16.6869782110545,-11.3895248107198,148.170254774866
-15.1063965257281,-11.9261025203117,148.340771470357
-13.52285695191,-12.4622407203875,148.486304940127
-11.9391731217374,-12.4698030382591,148.667086039623
-10.352776595732,-12.4764230769078,148.82537755552
-8.76572544112283,-11.9532619651674,149.01898199087
-7.17600551185013,-11.4284532225761,149.187565692089
-6.11629221482323,-10.3711041903524,149.353744909845
-4.52260343948861,-9.84331336829866,149.47719212078
-3.45991777963522,-8.78286820984334,149.603221698904
-2.3961748655578,-7.72100790013069,149.709135767783
-1.86436635512115,-6.12577516682663,149.817618176146
-0.79924960694293,-4.52908110600984,149.905952609497
-0.266465878492808,-2.93112466342051,149.961493098734
-0.266492795853276,-1.33246397926623,149.991793113836
0,0,150
0.266492795853276,-1.33246397926623,149.991793113836
0.266465878492808,-2.93112466342051,149.961493098734
0.79924960694293,-4.52908110600984,149.905952609497
1.86436635512115,-6.12577516682663,149.817618176146
2.3961748655578,-7.72100790013069,149.709135767783
3.45991777963522,-8.78286820984334,149.603221698904
4.5226034394886,-9.84331336829866,149.47719212078
6.11629221482323,-10.3711041903524,149.353744909845
7.17600551185013,-11.4284532225761,149.187565692089
8.76572544112283,-11.9532619651674,149.01898199087
10.352776595732,-12.4764230769078,148.82537755552
11.9391731217374,-12.4698030382591,148.667086039623
13.52285695191,-12.4622407203876,148.486304940127
15.1063965257281,-11.9261025203117,148.340771470357
16.6869782110546,-11.3895248107198,148.170254774866
17.7398890793474,-10.8557530187051,148.059982966963
19.3146925841691,-10.3188083668849,147.847096937028
20.3665067399357,-9.25750306360717,147.751983608808
21.4162002283807,-8.19632354419509,147.636895384001
22.4660230728437,-6.60765384495403,147.534361933845
22.9907581047061,-5.54949333561873,147.484361067073
24.0352357515591,-3.96185204696026,147.329422746014
24.038884188475,-2.37747206259642,147.374394813661
24.5595474140976,-0.792243464970914,147.281961127381
24.5595474140976,0.792243464970914,147.281961127381
24.038884188475,2.37747206259642,147.374394813661
24.0352357515591,3.96185204696026,147.329422746014
22.9907581047061,5.54949333561873,147.484361067073
22.4660230728437,6.60765384495403,147.534361933845
21.4162002283807,8.19632354419509,147.636895384001
20.3665067399357,9.25750306360717,147.751983608808
19.3146925841691,10.3188083668849,147.847096937028
17.7398890793474,10.8557530187051,148.059982966963
16.6869782110546,11.3895248107198,148.170254774866
15.1063965257281,11.9261025203117,148.340771470357
13.52285695191,12.4622407203876,148.486304940127
11.9391731217374,12.4698030382591,148.667086039623
10.352776595732,12.4764230769078,148.82537755552
8.76572544112283,11.9532619651674,149.01898199087
7.17600551185013,11.4284532225761,149.187565692089
6.11629221482323,10.3711041903524,149.353744909845
4.5226034394886,9.84331336829866,149.47719212078
3.45991777963522,8.78286820984334,149.603221698904
2.3961748655578,7.72100790013069,149.709135767783
1.86436635512115,6.12577516682663,149.817618176146
0.79924960694293,4.52908110600984,149.905952609497
0.266465878492808,2.93112466342051,149.961493098734
0.266492795853276,1.33246397926623,149.991793113836
0,0,150
